Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative target magnitude,Relative check1 magnitude,Relative check2 magnitude,real ref mag,real targ mag,real ch1 mag,real ch 2 mag,,SNR(target),SNR(ref),error on flux(target),error on flux(ref),error on target mag,,ref mag (SIMBAD)
2459632.446,348403,630.616,-13.8552,0.002,68751.4,335.372,-12.0932,0.0053,44118.2,305.554,-11.6115,0.0075,6923.84,249.265,-9.6009,0.0391,-1.762,0.4817,2.4923,,9.147999151,11.3916594,13.40233631,,552.4804318,205.0004174,0.00196568,0.00529755,0.070227686,,
2459632.448,380069,659.805,-13.9497,0.0019,75788.2,353.641,-12.199,0.0051,47268.1,310.757,-11.6864,0.0071,7618.24,250.781,-9.7046,0.0357,-1.7507,0.5126,2.4944,,9.159347861,11.42258362,13.40436736,,576.0323126,214.3082957,0.001885311,0.005067466,0.070208501,,
2459632.449,396078,659.432,-13.9945,0.0018,79597.5,358.946,-12.2522,0.0049,50096.5,315.23,-11.7495,0.0068,7724.96,226.654,-9.7197,0.0319,-1.7423,0.5027,2.5325,,9.167796768,11.41273011,13.44250797,,600.635092,221.7534114,0.001808086,0.004897332,0.070194395,,
2459632.45,348395,626.153,-13.8552,0.002,70963.6,346.711,-12.1276,0.0053,44406,296.823,-11.6186,0.0073,6564.36,248.542,-9.543,0.0411,-1.7276,0.509,2.5846,,9.182409314,11.41898496,13.49460812,,556.4055431,204.6765173,0.001951814,0.005305934,0.070227933,,
2459632.452,240220,543.622,-13.4515,0.0025,49682.4,333.514,-11.7405,0.0073,31605.6,294.751,-11.2494,0.0101,4832.44,270.243,-9.2104,0.0607,-1.711,0.4911,2.5301,,9.198983511,11.40109632,13.44009024,,441.8879295,148.9664602,0.002457637,0.007290232,0.070421499,,
2459632.455,131886,455.007,-12.8005,0.0037,27752.6,309.824,-11.1083,0.0121,18233.8,305.651,-10.6522,0.0182,2681.76,279.053,-8.571,0.113,-1.6922,0.4561,2.5373,,9.217762449,11.36606622,13.44720942,,289.8548814,89.57537182,0.003746702,0.012123868,0.071140888,,
2459632.457,156838,467.32,-12.9886,0.0032,33609.4,328.913,-11.3162,0.0106,21214.9,298.955,-10.8166,0.0153,3300.16,267.319,-8.7963,0.0879,-1.6724,0.4996,2.5199,,9.23752366,11.40954943,13.42981441,,335.6115724,102.1832521,0.003235884,0.010627965,0.070876121,,
2459632.459,267194,562.529,-13.5671,0.0023,58685.2,337.529,-11.9213,0.0062,0,0,0,0,6060.72,235.414,-9.4563,0.0422,-1.6458,11.9213,2.465,,9.264254719,0,13.37501092,,474.9870673,173.8671344,0.002286378,0.006246149,0.070315303,,
2459632.46,362217,637.095,-13.8974,0.0019,80256.6,359.942,-12.2612,0.0049,51027.1,307.651,-11.7695,0.0065,8196.36,239.669,-9.7841,0.0317,-1.6362,0.4917,2.4771,,9.27377982,11.40169968,13.38714933,,568.5447225,222.9709231,0.00191014,0.00487059,0.070195237,,
2459632.462,342764,621.681,-13.8375,0.002,77910,348.65,-12.229,0.0049,48506.6,312.789,-11.7145,0.007,8000.76,239.32,-9.7578,0.0325,-1.6085,0.5145,2.4712,,9.301495005,11.42448092,13.3811549,,551.3502906,223.4619246,0.00196971,0.004859888,0.070196141,,
2459632.463,356210,636.798,-13.8793,0.0019,81665.7,354.103,-12.2801,0.0047,52136.2,318.449,-11.7928,0.0066,7927.24,227.267,-9.7478,0.0311,-1.5992,0.4873,2.5323,,9.310833954,11.39725079,13.44229421,,559.3767568,230.6269645,0.001941446,0.004708903,0.070185062,,
2459632.465,335729,620.509,-13.815,0.002,78863.1,350.087,-12.2422,0.0048,49263.4,304.812,-11.7313,0.0067,7880.32,239.128,-9.7414,0.0329,-1.5728,0.5109,2.5008,,9.337212469,11.42087366,13.41082498,,541.0541991,225.2671479,0.002007193,0.004820943,0.070194518,,
2459632.466,337167,613.139,-13.8196,0.002,79493.3,358.801,-12.2508,0.0049,50113.8,306.245,-11.7499,0.0066,7883.36,251.245,-9.7418,0.0346,-1.5688,0.5009,2.509,,9.341213661,11.41093298,13.41904792,,549.9030399,221.5526155,0.001974894,0.00490177,0.070199199,,
2459632.468,322968,610.116,-13.7729,0.0021,77339.8,347.832,-12.221,0.0049,49562.5,314.427,-11.7379,0.0069,7857.64,239.081,-9.7382,0.033,-1.5519,0.4831,2.4828,,9.358108876,11.3931246,13.39277729,,529.3550735,222.3481451,0.002051553,0.004884232,0.070200175,,
2459632.469,256016,547.415,-13.5207,0.0023,62151.3,316.359,-11.9836,0.0055,38830.8,278.573,-11.4729,0.0078,6369.44,211.602,-9.5103,0.0361,-1.5371,0.5107,2.4733,,9.372957773,11.4206847,13.38337242,,467.6817405,196.4581377,0.002322092,0.005527895,0.070256315,,
2459632.471,335656,620.427,-13.8147,0.002,81976.6,362.324,-12.2842,0.0048,52149.5,308.766,-11.7931,0.0064,8210.2,227.777,-9.7859,0.0301,-1.5305,0.4911,2.4983,,9.379488718,11.40109938,13.40834041,,541.0080477,226.2521942,0.002007364,0.004799953,0.070193084,,
2459632.472,319110,606.922,-13.7598,0.0021,79308,338.679,-12.2483,0.0046,50016.8,306.004,-11.7478,0.0066,7863.16,227.07,-9.739,0.0314,-1.5115,0.5005,2.5093,,9.39844146,11.41050274,13.41929971,,525.7842029,234.1686376,0.002065486,0.004637683,0.070183861,,
2459632.474,323989,606.351,-13.7763,0.002,81494.2,346.266,-12.2778,0.0046,51574.4,308.539,-11.7811,0.0065,8290,227.953,-9.7964,0.0299,-1.4985,0.4967,2.4814,,9.411491089,11.40673129,13.39143043,,534.3258278,235.351435,0.002032468,0.004614376,0.070181361,,
