Julian Date,Target Intensity,Target Intensity Uncertainty,Target magnitude,target magnitude uncertainty,Reference Intensity,Reference Intensity Uncertainty,Reference magnitude,Reference magnitude uncertainty,Check1 Intensity,Check1 Intensity Uncertainty,Check1 magnitude,Check1 magnitude uncertainty,Check2 Intensity,Check2 Intensity Uncertainty,Check2 magnitude,Check2 magnitude uncertainty,Relative Target Mag,Relative Check1 Mag,Relative Check2 Mag,,rel V mag,B-V,ref mag real,real target mag B,real ch1 mag,real ch2 mag,real targ mag V,B-v real,B-Verror,SNR(Target),SNR(ref),Error on flux(target),error on flux(ref),error on ref (SIMBAD),Error on target mag B,,error on target mag V
2459632.443,242122,534.551,-13.4601,0.0024,32569.6,266.329,-11.282,0.0089,26575,244.973,-11.0612,0.01,2905.32,203.088,-8.658,0.0759,-2.1781,0.2208,2.624,,-1.7769,-0.4012,,9.65194543,12.05084788,14.45404613,9.133127359,0.518818071,0.148021255,452.9446208,122.2908508,0.002397644,0.008880468,,0.130325022,,0.070183193
2459632.445,241207,524.065,-13.456,0.0024,32637.8,266.374,-11.2843,0.0089,27148.8,255.864,-11.0844,0.0102,3208.32,203.887,-8.7657,0.069,-2.1717,0.1999,2.5186,,-1.7632,-0.4085,,9.658327424,12.0299256,14.348608,9.146792516,0.511534908,0.148017461,460.2616088,122.5262225,0.002359528,0.008863409,,0.130323165,,0.07017864
2459632.446,247765,534.929,-13.4851,0.0023,34379.6,269.706,-11.3408,0.0085,27552.3,256.737,-11.1004,0.0101,3142.72,203.781,-8.7433,0.0704,-2.1443,0.2404,2.5975,,-1.7643,-0.38,,9.685652157,12.0703574,14.42748783,9.145646804,0.540005353,0.148000985,463.1736174,127.4706532,0.002344693,0.008519608,,0.130299967,,0.070186966
2459632.447,191453,484.82,-13.2052,0.0027,26578.2,254.746,-11.0613,0.0104,21549.3,244.767,-10.8336,0.0123,2832.08,202.908,-8.6303,0.0778,-2.1439,0.2277,2.431,,-1.762,-0.3819,,9.686158473,12.05773099,14.26105012,9.147999151,0.538159322,0.148148032,394.8950126,104.3321583,0.002750098,0.010409063,,0.130445052,,0.070227686
2459632.448,224965,513.132,-13.3803,0.0025,30814.5,263.056,-11.2219,0.0093,25356.5,252.513,-11.0102,0.0108,3057.12,190.983,-8.7133,0.0678,-2.1584,0.2117,2.5086,,-1.7507,-0.4077,,9.671600423,12.04166455,14.3386066,9.159347861,0.512252562,0.148058501,438.4154565,117.1404568,0.002477102,0.009270922,,0.130353696,,0.070208501
2459632.449,217017,505.35,-13.3412,0.0025,30282.5,261.958,-11.203,0.0094,25279.6,262.732,-11.0069,0.0113,2856.24,203.077,-8.6395,0.0772,-2.1382,0.1961,2.5635,,-1.7423,-0.3959,,9.691744926,12.02605382,14.39349257,9.167796768,0.523948158,0.148060472,429.4390027,115.6005925,0.002528881,0.009394416,,0.130363531,,0.070194395
2459632.45,193818,476.672,-13.2185,0.0027,27218.6,246.244,-11.0872,0.0098,22853.4,247.372,-10.8974,0.0118,2704,202.647,-8.58,0.0814,-2.1313,0.1898,2.5072,,-1.7276,-0.4037,,9.698679189,12.01978741,14.33714774,9.182409314,0.516269875,0.148106804,406.6066394,110.535079,0.002670886,0.009824935,,0.130398094,,0.070227933
2459632.452,171153,462.968,-13.0835,0.0029,24661.8,251.089,-10.9801,0.0111,20110.4,252.502,-10.7585,0.0136,2019.2,189.26,-8.2629,0.1018,-2.1034,0.2216,2.7172,,11.9896,-14.093,,9.726600639,12.05151016,14.54711358,0,9.726600639,0.148290498,369.6864578,98.21935648,0.002937625,0.011056884,,0.13050243,,0.070421499
2459632.453,124159,409.641,-12.7349,0.0036,17882.5,259.255,-10.6311,0.0157,15049.7,253.564,-10.4438,0.0183,0,0,0,0,-2.1038,0.1873,10.6311,,-1.711,-0.3928,,9.726125069,12.01725098,0,9.198983511,0.527141558,0.149069626,303.0922198,68.97649033,0.003583068,0.015744495,,0.13099896,,0.071140888
2459632.455,130718,417.51,-12.7908,0.0035,19701.6,251.742,-10.7363,0.0139,15715.4,232.593,-10.4908,0.0161,1970.44,201.848,-8.2364,0.1112,-2.0545,0.2455,2.4999,,11.6773,-13.7318,,9.775415257,12.07544014,14.32984571,0,9.775415257,0.148754889,313.0895068,78.26107682,0.003468657,0.01387663,,0.130784527,,0.070876121
